PING 88.80.187.84 (88.80.187.84) 1076(1104) bytes of data.
1084 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=74.9 ms
1084 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=114 ms
1084 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=73.4 ms
1084 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=111 ms
1084 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=64.7 ms
1084 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=69.3 ms
1084 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=68.9 ms
1084 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=106 ms
1084 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=66.7 ms
1084 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=103 ms
1084 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=138 ms
1084 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=99.9 ms
1084 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=140 ms
1084 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=98.7 ms
1084 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=133 ms
1084 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=94.7 ms
1084 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=133 ms
1084 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=91.9 ms
1084 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=131 ms
1084 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=88.8 ms
1084 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=68.2 ms
1084 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=83.2 ms
1084 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=124 ms
1084 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=83.9 ms
1084 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=119 ms
1084 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=79.7 ms
1084 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=70.7 ms
1084 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=68.9 ms
1084 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=123 ms
1084 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=66.2 ms
1084 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=66.8 ms
1084 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=74.4 ms
1084 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=106 ms
1084 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=70.9 ms
1084 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=108 ms
1084 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=64.4 ms
1084 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=69.1 ms
1084 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=65.3 ms
1084 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=96.6 ms
1084 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=72.3 ms
1084 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=98.2 ms
1084 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=137 ms
1084 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=176 ms
1084 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=136 ms
1084 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=69.0 ms
1084 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=133 ms
1084 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=88.2 ms
1084 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=130 ms
1084 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=89.0 ms
1084 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=79.2 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49065ms
rtt min/avg/max/mdev = 64.386/96.311/176.104/27.229 ms
