PING 88.80.187.84 (88.80.187.84) 1276(1304) bytes of data.
1284 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=74.5 ms
1284 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=74.7 ms
1284 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=75.3 ms
1284 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=85.0 ms
1284 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=66.6 ms
1284 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=77.6 ms
1284 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=69.0 ms
1284 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=105 ms
1284 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=65.1 ms
1284 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=101 ms
1284 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=141 ms
1284 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=99.6 ms
1284 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=138 ms
1284 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=61.1 ms
1284 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=138 ms
1284 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=95.2 ms
1284 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=135 ms
1284 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=92.2 ms
1284 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=131 ms
1284 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=89.1 ms
1284 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=125 ms
1284 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=81.4 ms
1284 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=126 ms
1284 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=74.1 ms
1284 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=74.8 ms
1284 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=80.5 ms
1284 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=120 ms
1284 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=77.8 ms
1284 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=116 ms
1284 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=74.1 ms
1284 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=113 ms
1284 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=75.9 ms
1284 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=80.5 ms
1284 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=71.8 ms
1284 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=102 ms
1284 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=80.9 ms
1284 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=69.5 ms
1284 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=66.9 ms
1284 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=99.3 ms
1284 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=141 ms
1284 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=75.1 ms
1284 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=73.8 ms
1284 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=97.1 ms
1284 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=137 ms
1284 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=65.3 ms
1284 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=74.5 ms
1284 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=58.4 ms
1284 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=132 ms
1284 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=71.9 ms
1284 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=69.9 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49066ms
rtt min/avg/max/mdev = 58.414/92.410/141.287/25.186 ms
